file,fat tree,rail only,HyperX,DragonFly+
gpt_7B-world_size2048-tp32-pp2-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,1175671799808,1175671799808,670500323328,1763507699712
gpt_7B-world_size2048-tp32-pp4-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,355786031104,355786031104,208468377600,533679046656
gpt_7B-world_size2048-tp32-pp8-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,113372037120,113372037120,69086085120,170058055680
gpt_7B-world_size2048-tp4-pp2-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,8401333518336,8401333518336,4397573013504,12602000277504
gpt_7B-world_size2048-tp4-pp4-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,2344758542336,2344758542336,1231914156032,3517137813504
gpt_7B-world_size2048-tp4-pp8-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,656702177280,656702177280,347590410240,985053265920
gpt_7B-world_size2048-tp8-pp2-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,4273609900032,4273609900032,2278702153728,6410414850048
gpt_7B-world_size2048-tp8-pp4-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,1208815190016,1208815190016,649265971200,1813222785024
gpt_7B-world_size2048-tp8-pp8-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,346533396480,346533396480,188833628160,519800094720
gpt_7B-world_size256-tp4-pp4-ep1-gbs2048-mbs1-seq8192-MOE-False-GEMM-False-flash_attn-False_dp_only,297535537152,297535537152,174337228800,446303305728
gpt_7B-world_size4096-tp4-pp1-ep1-gbs8192-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_dp_only,63309537607680,63309537607680,32613067468800,94964306411520
