file,fat tree,rail only,HyperX,DragonFly+
gpt_175B-world_size2048-tp32-pp4-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,5646426433404928,5646426433404928,2823213216702464,5646426433404928
gpt_175B-world_size2048-tp32-pp8-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,3185978569654272,3185978569654272,1592989284827136,3185978569654272
gpt_175B-world_size2048-tp8-pp16-ep1-gbs8192-mbs1-seq2048-MOE-False-GEMM-False-flash_attn-False_tp_only,585544310980608,585544310980608,292772155490304,585544310980608
gpt_175B-world_size2048-tp8-pp2-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,2500482488647680,2500482488647680,1250241244323840,2500482488647680
gpt_175B-world_size2048-tp8-pp4-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,1303389652664320,1303389652664320,651694826332160,1303389652664320
gpt_175B-world_size2048-tp8-pp8-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,726760452784128,726760452784128,363380226392064,726760452784128
gpt_175B-world_size4096-tp8-pp32-ep1-gbs16384-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,1214317065142272,1214317065142272,607158532571136,1214317065142272
gpt_175B-world_size512-tp16-pp2-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,1291754243371008,1291754243371008,645877121685504,1291754243371008
gpt_175B-world_size512-tp16-pp4-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,686090850144256,686090850144256,343045425072128,686090850144256
gpt_175B-world_size512-tp16-pp8-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,386194495242240,386194495242240,193097247621120,386194495242240
gpt_175B-world_size512-tp32-pp2-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,2644863726661632,2644863726661632,1322431863330816,2644863726661632
gpt_175B-world_size512-tp32-pp4-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,1411606608351232,1411606608351232,705803304175616,1411606608351232
gpt_175B-world_size512-tp32-pp8-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,796494642413568,796494642413568,398247321206784,796494642413568
gpt_175B-world_size512-tp8-pp2-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,625120622161920,625120622161920,312560311080960,625120622161920
gpt_175B-world_size512-tp8-pp4-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,325847413166080,325847413166080,162923706583040,325847413166080
gpt_175B-world_size512-tp8-pp8-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,181690113196032,181690113196032,90845056598016,181690113196032
gpt_22B-world_size1024-tp16-pp2-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,686276644724736,686276644724736,343138322362368,686276644724736
gpt_22B-world_size1024-tp16-pp4-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,386287392530432,386287392530432,193143696265216,386287392530432
gpt_22B-world_size1024-tp16-pp8-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,237026601861120,237026601861120,118513300930560,237026601861120
gpt_22B-world_size1024-tp32-pp2-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,1411742425964544,1411742425964544,705871212982272,1411742425964544
gpt_22B-world_size1024-tp32-pp4-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,796562551218176,796562551218176,398281275609088,796562551218176
gpt_22B-world_size1024-tp32-pp8-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,489351762149376,489351762149376,244675881074688,489351762149376
gpt_22B-world_size1024-tp8-pp2-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,326126517903360,326126517903360,163063258951680,326126517903360
gpt_22B-world_size1024-tp8-pp4-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,181829665562624,181829665562624,90914832781312,181829665562624
gpt_22B-world_size1024-tp8-pp8-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,111051065524224,111051065524224,55525532762112,111051065524224
gpt_22B-world_size1024-tp8-pp8-ep1-gbs8192-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,442415811919872,442415811919872,221207905959936,442415811919872
gpt_22B-world_size2048-tp16-pp2-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,1372553289449472,1372553289449472,686276644724736,1372553289449472
gpt_22B-world_size2048-tp16-pp4-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,772574785060864,772574785060864,386287392530432,772574785060864
gpt_22B-world_size2048-tp16-pp8-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,474053203722240,474053203722240,237026601861120,474053203722240
gpt_22B-world_size2048-tp32-pp2-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,2823484851929088,2823484851929088,1411742425964544,2823484851929088
gpt_22B-world_size2048-tp32-pp4-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,1593125102436352,1593125102436352,796562551218176,1593125102436352
gpt_22B-world_size2048-tp32-pp8-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,978703524298752,978703524298752,489351762149376,978703524298752
gpt_22B-world_size2048-tp8-pp2-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,652253035806720,652253035806720,326126517903360,652253035806720
gpt_22B-world_size2048-tp8-pp4-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,363659331125248,363659331125248,181829665562624,363659331125248
gpt_22B-world_size2048-tp8-pp8-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,222102131048448,222102131048448,111051065524224,222102131048448
gpt_22B-world_size512-tp16-pp2-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,343138322362368,343138322362368,171569161181184,343138322362368
gpt_22B-world_size512-tp16-pp4-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,193143696265216,193143696265216,96571848132608,193143696265216
gpt_22B-world_size512-tp16-pp8-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,118513300930560,118513300930560,59256650465280,118513300930560
gpt_22B-world_size512-tp32-pp2-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,705871212982272,705871212982272,352935606491136,705871212982272
gpt_22B-world_size512-tp32-pp4-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,398281275609088,398281275609088,199140637804544,398281275609088
gpt_22B-world_size512-tp32-pp8-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,244675881074688,244675881074688,122337940537344,244675881074688
gpt_22B-world_size512-tp8-pp16-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,151732559806464,151732559806464,75866279903232,151732559806464
gpt_22B-world_size512-tp8-pp2-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,163063258951680,163063258951680,81531629475840,163063258951680
gpt_22B-world_size512-tp8-pp4-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,90914832781312,90914832781312,45457416390656,90914832781312
