file,fat tree,DragonFly+,HyperX
gpt_13B-world_size512-tp16-pp2-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,337688633688576,340064743604736,308675173432320
gpt_7B-world_size2048-tp16-pp8-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,344640714571776,345348591452160,313561985581056
llama_405B-world_size512-tp8-pp8-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True_pp_only,311410909773824,318523224621056,315329983545344
gpt_7B-world_size1024-tp32-pp8-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,355119587622912,355508022116352,322962457690112
gpt_175B-world_size512-tp8-pp4-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,337546803417088,350795590537216,344829931294720
gpt_22B-world_size1024-tp8-pp2-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,338549928910848,351927118356480,346166458343424
gpt_7B-world_size2048-tp8-pp2-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,347038742003712,356284184444928,351937966424064
gpt_13B-world_size1024-tp16-pp4-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,386928383765504,388366217391104,352672905963520
gpt_13B-world_size512-tp32-pp4-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,398065744713216,398626187613696,362098730275840
llama_65B-world_size512-tp8-pp2-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True_pp_only,361323697287168,379029490249728,371619864260608
gpt_175B-world_size1024-tp8-pp8-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,370020682039296,377365566849024,373852065497088
gpt_22B-world_size2048-tp8-pp4-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,371455049089024,378427787984896,374861922058240
llama_65B-world_size1024-tp8-pp4-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True_pp_only,376634114842624,385954990792704,381903072927744
llama_65B-world_size2048-tp8-pp8-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True_pp_only,425990402605056,431247669067776,428481609465856
gpt_22B-world_size512-tp16-pp2-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,474927878521344,478838062465536,434540485819392
gpt_13B-world_size2048-tp16-pp8-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,487778976399360,488844308643840,443872157368320
gpt_22B-world_size1024-tp8-pp8-ep1-gbs8192-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,443664993091584,445007508013056,444286280663040
gpt_7B-world_size1024-tp16-pp2-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,493741122814976,496443710014464,450719542441984
gpt_13B-world_size1024-tp32-pp8-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,502554989133824,503094465757184,457047504650240
gpt_7B-world_size512-tp32-pp2-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,506622833017344,507579310490112,461016269995008
gpt_175B-world_size512-tp16-pp8-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,532787846676480,535068512059392,485831682883584
gpt_22B-world_size1024-tp16-pp4-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,533180954061824,535435780434944,486196384638976
gpt_13B-world_size2048-tp8-pp2-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,478365773250560,493864723988480,486686143201280
llama_65B-world_size512-tp16-pp4-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True_pp_only,538624901715456,541380349728256,491458784269312
gpt_22B-world_size512-tp32-pp4-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,548190578251264,549021314684416,498682330944512
gpt_7B-world_size2048-tp16-pp4-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,573437235714048,574879367452672,522041155407872
gpt_7B-world_size1024-tp32-pp4-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,589963397639168,590624881323008,536582230779904
llama_65B-world_size1024-tp16-pp8-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True_pp_only,617932018089984,619687376257024,562791228506112
llama_65B-world_size512-tp32-pp8-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True_pp_only,636603477245952,637269717270528,579025104306176
gpt_175B-world_size2048-tp8-pp16-ep1-gbs8192-mbs1-seq2048-MOE-False-GEMM-False-flash_attn-False_pp_only,590299947073536,595099208122368,592644080664576
